Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 14:58:16

Name:	Parallel Block
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
13.5442	7.6216	Inf	Inf
13.6030	7.9004	Inf	Inf
13.6121	8.0019	Inf	Inf
13.6984	8.2634	Inf	Inf
13.7198	8.1521	Inf	Inf
13.7327	7.9667	Inf	Inf
13.7389	7.7055	Inf	Inf
13.7724	7.8134	Inf	Inf
13.8014	8.3481	Inf	Inf
13.8656	9.3354	Inf	Inf
13.9037	9.6116	Inf	Inf
13.9495	9.9818	Inf	Inf
14.0045	10.4224	Inf	Inf
14.0312	10.5236	Inf	Inf
14.0915	10.7892	Inf	Inf
14.1335	11.1070	Inf	Inf
14.1762	11.4273	Inf	Inf
14.2197	11.9541	Inf	Inf
14.2800	12.2685	Inf	Inf
14.3037	12.3704	Inf	Inf
14.3518	12.7815	Inf	Inf
14.4037	12.9463	Inf	Inf
14.4174	12.5847	Inf	Inf
14.4373	12.3749	Inf	Inf
14.4426	12.4840	Inf	Inf
14.4709	13.0733	Inf	Inf
14.5052	14.2851	Inf	Inf
14.5434	14.6774	Inf	Inf
14.5663	15.6096	Inf	Inf
14.6274	16.5029	Inf	Inf
14.6686	16.8592	Inf	Inf
14.7113	17.3276	Inf	Inf
14.7647	17.7862	Inf	Inf
14.7739	17.3471	Inf	Inf
14.7907	17.0589	Inf	Inf
14.8075	16.8472	Inf	Inf
14.8212	16.6921	Inf	Inf
14.8258	16.5553	Inf	Inf
14.8479	16.6561	Inf	Inf
14.8594	17.7791	Inf	Inf
14.8968	19.0613	Inf	Inf
14.9647	19.1602	Inf	Inf
14.9937	19.4112	Inf	Inf
15.0663	20.1689	Inf	Inf
15.1113	20.2663	Inf	Inf
15.1365	20.6395	Inf	Inf
15.2372	20.6537	Inf	Inf
15.3372	20.6473	Inf	Inf
Data End	

