Code:	WP 300.20
Compression test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 15:01:49

Name:	Perpendicular Test
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
11.6611	14.7096	Inf	Inf
11.7306	14.1802	Inf	Inf
11.7588	14.5642	Inf	Inf
11.8168	15.4065	Inf	Inf
11.8603	15.8652	Inf	Inf
11.8741	16.0401	Inf	Inf
11.9588	16.8199	Inf	Inf
11.9779	17.0106	Inf	Inf
12.0443	17.4168	Inf	Inf
12.0809	17.8023	Inf	Inf
12.1496	17.9046	Inf	Inf
12.1573	18.0226	Inf	Inf
12.1695	17.5959	Inf	Inf
12.1977	17.2684	Inf	Inf
12.2275	17.0436	Inf	Inf
12.2344	17.1444	Inf	Inf
12.2489	18.6705	Inf	Inf
12.2802	19.9999	Inf	Inf
12.3336	20.6406	Inf	Inf
12.4344	20.6350	Inf	Inf
12.4840	20.5319	Inf	Inf
12.4992	20.1261	Inf	Inf
12.5069	20.3307	Inf	Inf
12.5145	20.2281	Inf	Inf
Data End	

