Code:	WP 300.20
Tensile test

G.U.N.T. Gerätebau GmbH
Hanskampring 15 -17,
22885 Barsbüttel
Germany, Tel ++4940 / 67 08 54 -0
Date: 06.03.2023	Time: 14:32:36

Name:	Steel Tensile Test
User Comment:	

Data Start
s Distance	F Force	EPS Elongation	SIGMA Stress	
mm	KN	%	N/mm^2	
4.8570	12.0913	Inf	Inf
4.8684	11.9886	Inf	Inf
4.8730	11.8863	Inf	Inf
4.8860	11.9830	Inf	Inf
4.9157	12.3195	Inf	Inf
5.0157	12.3157	Inf	Inf
5.0485	12.2067	Inf	Inf
5.0814	12.3060	Inf	Inf
5.1814	12.3281	Inf	Inf
5.2447	12.2235	Inf	Inf
5.2470	12.0819	Inf	Inf
5.2592	11.9800	Inf	Inf
5.2607	12.0782	Inf	Inf
5.2714	12.2157	Inf	Inf
5.3073	12.4214	Inf	Inf
5.4065	12.4146	Inf	Inf
5.5065	12.4356	Inf	Inf
5.6065	12.3427	Inf	Inf
5.6142	12.2363	Inf	Inf
5.6187	12.1347	Inf	Inf
5.6248	12.1302	Inf	Inf
5.6279	12.0332	Inf	Inf
5.6516	12.3787	Inf	Inf
5.7264	12.4963	Inf	Inf
5.8264	12.4532	Inf	Inf
5.9256	12.4405	Inf	Inf
5.9531	12.3363	Inf	Inf
5.9577	12.2179	Inf	Inf
5.9630	12.1149	Inf	Inf
5.9676	12.2145	Inf	Inf
5.9821	12.3101	Inf	Inf
6.0225	12.4465	Inf	Inf
6.1225	12.5334	Inf	Inf
6.2233	12.5439	Inf	Inf
6.2851	12.4334	Inf	Inf
6.2882	12.2554	Inf	Inf
6.2920	12.1531	Inf	Inf
6.2981	12.2546	Inf	Inf
6.3042	12.3539	Inf	Inf
6.3836	12.6245	Inf	Inf
6.4836	12.5574	Inf	Inf
6.5843	12.5701	Inf	Inf
6.6179	12.4656	Inf	Inf
6.6240	12.2636	Inf	Inf
6.6263	12.1625	Inf	Inf
6.6301	12.2678	Inf	Inf
6.6713	12.6263	Inf	Inf
