,Gauge,Parameters,R2 Vals
0,G1,16.445636,0.9001081568828704
1,G2,-12.416182,0.9010231368836963
2,G3,-12.913273,0.8920766961584957
3,G4,10.555212,0.9087628305031208
4,G5,16.184424,0.9040029356739473
5,G6,-25.410182,0.9001747820583155
