,Gauge,Parameters,R2 Vals
0,G1,23.073444,0.966452007668896
1,G2,-17.419222,0.9673327709165171
2,G3,-18.153667,0.9616504713357442
3,G4,14.782889,0.9723089715756758
4,G5,22.690556,0.9692254228093328
5,G6,-35.667,0.9673954463060785
